Address_ID,Address,Number,Neighborhood,City,Latitude,Longitude,PostalCode
ad1,Estrada Oliveiras,6955,Copacabana,Porto Alegre,-30.035917,-51.235346,76973043
ad2,Av. Margaridas,7149,Centro,Rio de Janeiro,-22.914159,-43.163996,46216205
ad3,Travessa Limoeiros,9039,Bela Vista,Campinas,-22.911771,-47.074144,55202403
ad4,Estrada Paraíso,7446,Jardim América,Campinas,-22.870346,-47.065145,46644094
ad5,Travessa Flores,6395,Guaianases,Fortaleza,-3.740272,-38.564721,09262027
ad6,Travessa Alecrins,5263,Guaianases,Belo Horizonte,-19.934646,-43.923068,64761651
ad7,Travessa Jardins,6093,Boa Viagem,Recife,-8.074766,-34.917783,63238019
ad8,Estrada Paraíso,5171,Mooca,Goiânia,-16.65546,-49.225473,74035311
ad9,Estrada Limoeiros,287,Copacabana,Campinas,-22.938886,-47.093063,24029915
ad10,Travessa Lavandas,4688,Guaianases,Recife,-8.073499,-34.923583,45568679
ad11,Rua Jardins,2204,Boa Viagem,Goiânia,-16.723921,-49.311553,41014643
ad12,Av. Margaridas,2586,Mooca,Curitiba,-25.382776,-49.250053,87051671
ad13,Rua Paineiras,2229,Liberdade,Belo Horizonte,-19.920521,-43.955374,82302572
ad14,Travessa Flores,2437,Jardim América,Curitiba,-25.435919,-49.217454,88854269
ad15,Av. Ipês,4969,Liberdade,Belo Horizonte,-19.919069,-43.928266,71993218
ad16,Estrada Oliveiras,1400,Copacabana,Fortaleza,-3.745235,-38.545208,19059528
ad17,Rua Alecrins,6253,Mooca,Goiânia,-16.696619,-49.278989,11991332
ad18,Estrada Cedros,6820,Copacabana,Fortaleza,-3.718325,-38.561202,82082760
ad19,Av. Lavandas,7103,Guaianases,Curitiba,-25.416209,-49.231702,09953002
ad20,Av. Alecrins,3110,Guaianases,Campinas,-22.909242,-47.091929,96021288
ad21,Rua Acácias,7097,Boa Viagem,Porto Alegre,-29.993402,-51.169908,98758647
ad22,Travessa Margaridas,6960,Guaianases,Campinas,-22.928695,-47.109441,67557590
ad23,Rua Oliveiras,3412,Jardim América,Belo Horizonte,-19.921541,-43.954983,94333984
ad24,Rua Primaveras,7068,Liberdade,Belo Horizonte,-19.947969,-43.89732,23726793
ad25,Estrada Alecrins,1669,Ipanema,Fortaleza,-3.773081,-38.539052,98352183
ad26,Av. Flores,1041,Copacabana,Salvador,-13.026641,-38.538038,48568214
ad27,Estrada Primaveras,815,Mooca,São Paulo,-23.513737,-46.641924,99897102
ad28,Estrada Paineiras,3302,Vila Madalena,Campinas,-22.917822,-47.060848,77416281
ad29,Estrada Paraíso,5326,Vila Madalena,Fortaleza,-3.689756,-38.511983,60602512
ad30,Estrada Margaridas,3337,Boa Viagem,Porto Alegre,-30.084188,-51.168364,63310995
ad31,Estrada Horizonte,8041,Vila Madalena,Goiânia,-16.731658,-49.264873,60992097
ad32,Av. Paraíso,4232,Boa Viagem,Curitiba,-25.41278,-49.288564,30644090
ad33,Rua Cedros,3007,Bela Vista,Porto Alegre,-30.042695,-51.23618,28192611
ad34,Av. Flores,2017,Liberdade,Campinas,-22.92481,-47.049345,83372314
ad35,Av. Palmeiras,402,Centro,São Paulo,-23.596909,-46.613563,08964469
ad36,Estrada Primaveras,8192,Ipanema,Rio de Janeiro,-22.899075,-43.218166,08899189
ad37,Rua Palmeiras,2533,Ipanema,Fortaleza,-3.754375,-38.506315,29017016
ad38,Travessa Lavandas,1896,Vila Madalena,São Paulo,-23.557358,-46.598925,70841737
ad39,Rua Alecrins,406,Ipanema,Campinas,-22.890696,-47.084924,60182767
ad40,Rua Margaridas,4600,Vila Madalena,Recife,-8.051485,-34.834166,79995769
ad41,Travessa Cedros,7931,Boa Viagem,Belo Horizonte,-19.886623,-43.908449,10085536
ad42,Estrada Oliveiras,675,Ipanema,Salvador,-13.013691,-38.45889,28387894
ad43,Av. Lavandas,3338,Jardim América,Porto Alegre,-29.993988,-51.189446,06099308
ad44,Av. Paraíso,3087,Vila Madalena,Curitiba,-25.430502,-49.314514,07632194
ad45,Estrada Acácias,7631,Bela Vista,Belo Horizonte,-19.957124,-43.937463,51106690
ad46,Av. Limoeiros,1058,Mooca,Rio de Janeiro,-22.904567,-43.128565,78171911
ad47,Rua Flores,6833,Liberdade,São Paulo,-23.572714,-46.639544,78233397
ad48,Av. Paineiras,6118,Liberdade,Porto Alegre,-30.045777,-51.21655,56581309
ad49,Estrada Jardins,6803,Mooca,Rio de Janeiro,-22.866115,-43.156125,94569437
ad50,Estrada Flores,9820,Jardim América,Campinas,-22.915193,-47.024079,52612108
ad51,Av. Orquídeas,6839,Mooca,Salvador,-12.941285,-38.504185,81248383
ad52,Estrada Palmeiras,1692,Copacabana,São Paulo,-23.529828,-46.626305,13984411
ad53,Av. Lavandas,7815,Mooca,Goiânia,-16.67482,-49.289799,63089424
ad54,Estrada Orquídeas,4509,Bela Vista,Porto Alegre,-30.017049,-51.187643,68438316
ad55,Travessa Cedros,1667,Liberdade,Porto Alegre,-30.038291,-51.234176,12951928
ad56,Travessa Oliveiras,5222,Liberdade,Recife,-8.067176,-34.877447,24298844
ad57,Rua Paineiras,846,Ipanema,Rio de Janeiro,-22.887286,-43.176045,09650642
ad58,Travessa Paraíso,8323,Centro,Fortaleza,-3.71682,-38.566039,54696995
ad59,Av. Orquídeas,5680,Centro,Salvador,-12.976817,-38.500793,64635724
ad60,Rua Ipês,6066,Bela Vista,São Paulo,-23.549799,-46.652203,54359142
ad61,Rua Oliveiras,9404,Vila Madalena,São Paulo,-23.561642,-46.679277,55890288
ad62,Estrada Cedros,4894,Centro,São Paulo,-23.554518,-46.606911,54537973
ad63,Travessa Flores,3718,Ipanema,Goiânia,-16.680132,-49.252369,59099536
ad64,Travessa Jardins,6306,Vila Madalena,Goiânia,-16.720377,-49.276716,40787946
ad65,Av. Horizonte,8870,Ipanema,Porto Alegre,-30.067207,-51.258341,82738159
