Driver_ID,AdmissionDate,Age
d1001001,09/2020,22
d1001002,12/2018,27
d1001003,12/2015,35
d1001004,06/2015,28
d1001005,12/2024,41
d1001006,10/2015,56
d1001007,11/2017,21
d1001008,12/2022,43
d1001009,01/2017,59
d1001010,05/2016,27
d1001011,04/2015,33
d1001012,08/2018,57
d1001013,05/2021,51
d1001014,10/2022,26
d1001015,10/2017,26
d1001016,10/2016,34
d1001017,03/2017,51
d1001018,08/2020,55
d1001019,02/2024,22
d1001020,05/2022,45
d1001021,11/2018,25
d1001022,06/2019,41
d1001023,09/2016,46
d1001024,05/2017,33
d1001025,03/2015,50
d1001026,05/2021,65
d1001027,06/2021,34
d1001028,12/2020,39
d1001029,12/2018,40
d1001030,03/2021,59
d1001031,06/2023,52
d1001032,10/2017,64
d1001033,03/2023,32
d1001034,06/2015,43
d1001035,05/2023,24
d1001036,08/2023,48
d1001037,05/2021,62
d1001038,04/2024,33
d1001039,01/2020,41
d1001040,02/2022,29
d1001041,12/2017,30
d1001042,11/2024,64
d1001043,02/2019,46
d1001044,05/2024,61
d1001045,11/2017,64
d1001046,08/2024,64
d1001047,09/2015,46
d1001048,11/2017,54
d1001049,01/2021,53
d1001050,01/2015,45
d1001051,12/2023,22
d1001052,12/2021,36
d1001053,02/2021,52
d1001054,02/2017,55
d1001055,08/2019,35
d1001056,09/2018,42
d1001057,01/2015,51
d1001058,09/2023,47
d1001059,11/2024,23
d1001060,02/2022,21
d1001061,11/2015,45
d1001062,04/2020,45
d1001063,09/2022,59
d1001064,11/2023,48
d1001065,12/2022,51
d1001066,02/2024,56
d1001067,03/2022,58
d1001068,09/2021,32
d1001069,12/2020,38
d1001070,07/2021,44
d1001071,08/2021,41
d1001072,03/2015,63
d1001073,06/2019,32
d1001074,10/2018,32
d1001075,03/2024,64
d1001076,10/2019,35
d1001077,03/2020,43
d1001078,01/2021,46
d1001079,03/2017,42
d1001080,06/2020,35
d1001081,05/2022,52
d1001082,11/2015,25
d1001083,10/2019,29
d1001084,09/2024,23
d1001085,01/2017,43
d1001086,03/2018,56
d1001087,10/2019,48
d1001088,09/2015,31
d1001089,10/2022,26
d1001090,08/2024,46
d1001091,10/2016,50
d1001092,02/2018,26
d1001093,02/2015,34
d1001094,06/2018,30
d1001095,09/2016,47
d1001096,04/2017,22
d1001097,10/2016,61
d1001098,11/2021,23
d1001099,07/2019,32
d1001100,03/2021,25
d1001101,03/2015,27
d1001102,11/2020,55
d1001103,12/2022,45
d1001104,05/2022,26
d1001105,05/2023,40
d1001106,09/2022,30
d1001107,06/2024,62
d1001108,04/2023,54
d1001109,11/2016,26
d1001110,04/2020,42
d1001111,08/2024,58
d1001112,01/2024,51
d1001113,12/2021,62
d1001114,05/2019,30
d1001115,07/2024,31
d1001116,11/2017,22
d1001117,05/2019,26
d1001118,12/2015,56
d1001119,11/2015,30
d1001120,06/2019,43
d1001121,09/2019,60
d1001122,12/2017,54
d1001123,12/2017,37
d1001124,01/2018,49
d1001125,04/2019,40
d1001126,07/2015,36
d1001127,04/2017,62
d1001128,04/2015,48
d1001129,12/2023,31
d1001130,12/2020,63
d1001131,09/2018,60
d1001132,05/2021,52
d1001133,04/2018,41
d1001134,10/2016,49
d1001135,09/2018,22
d1001136,05/2016,45
d1001137,02/2018,56
