Incidence_ID,IncidenceCode,Driver_ID,Weight,Date,Status
i1002447-5,licenseFine,d1002447,0.25,19/01/2024,Resolved
i1002349-5,accident,d1002349,0.24,15/12/2024,Resolved
i1002425-1,licenseFine,d1002425,0.91,19/06/2024,Resolved
i1002417-1,theft,d1002417,0.97,26/07/2024,Open
i1002200-4,theft,d1002200,0.69,06/02/2024,Resolved
i1002866-4,licenseFine,d1002866,0.32,22/01/2025,Resolved
i1002288-5,accident,d1002288,0.45,19/04/2024,UnderReview
i1001091-5,licenseFine,d1001091,0.71,27/04/2025,Resolved
i1001994-2,maintenance,d1001994,0.89,27/03/2024,UnderReview
i1002224-2,accident,d1002224,0.75,26/08/2024,UnderReview
i1002009-3,maintenance,d1002009,0.82,17/01/2024,Pending
i1001112-3,routeDelay,d1001112,0.18,22/10/2024,Open
i1002437-3,routeDelay,d1002437,0.19,18/02/2024,UnderReview
i1002886-3,maintenance,d1002886,0.85,08/08/2024,Open
i1002887-3,licenseFine,d1002887,0.97,22/07/2024,Pending
i1001860-5,licenseFine,d1001860,0.7,02/06/2024,Pending
i1002882-1,theft,d1002882,0.67,31/03/2025,UnderReview
i1002826-5,accident,d1002826,0.6,18/01/2025,Pending
i1002226-1,speeding,d1002226,0.23,03/07/2025,Open
i1001234-3,speeding,d1001234,0.65,08/04/2024,Open
i1002953-4,accident,d1002953,0.61,06/04/2024,UnderReview
i1001462-4,routeDelay,d1001462,0.09,26/07/2024,Open
i1001049-2,speeding,d1001049,0.51,23/11/2024,Open
i1001923-2,theft,d1001923,0.75,01/03/2024,Open
i1001918-4,routeDelay,d1001918,0.37,29/11/2024,UnderReview
i1002238-5,accident,d1002238,0.2,24/02/2024,Open
i1002240-5,accident,d1002240,0.98,24/12/2024,Open
i1001269-3,accident,d1001269,0.06,16/05/2024,Resolved
i1001989-4,theft,d1001989,0.18,08/11/2024,Resolved
i1001428-2,licenseFine,d1001428,0.72,12/01/2024,Pending
i1001583-5,maintenance,d1001583,0.15,26/06/2025,Resolved
i1002146-3,routeDelay,d1002146,0.3,15/11/2024,Resolved
i1001781-3,accident,d1001781,0.9,14/08/2024,Open
i1001333-4,routeDelay,d1001333,0.72,06/04/2024,UnderReview
i1001250-1,maintenance,d1001250,0.74,11/12/2024,Resolved
i1002539-5,speeding,d1002539,0.63,27/02/2025,Pending
i1002492-5,licenseFine,d1002492,0.41,29/09/2024,Open
