Package_ID,PackageName,PackageQuant,PackageSize,PackageWeigh,PackageValue,Volume,PickupStop_ID,DeliveryStop_ID,Route_ID
p1,E‑commerce Package,1,L,85kg,"R$ 33.837,00",148,500,1328,r1402
p2,Retail Package,4,XXL,65kg,"R$ 21.742,00",188,1289,148,r1303
p3,Petz Package,10,XL,89kg,"R$ 9.005,00",190,243,447,r2385
p4,Retail Package,1,S,63kg,"R$ 36.928,00",80,1719,476,r2307
p5,Petz Package,9,XS,100kg,"R$ 18.591,00",102,366,642,r2123
p6,Petz Package,8,GG,70kg,"R$ 33.809,00",28,1544,239,r1664
p7,Petz Package,2,XXL,11kg,"R$ 39.277,00",144,769,800,r2798
p8,Petz Package,2,M,88kg,"R$ 40.575,00",182,1297,1730,r2053
p9,Food Package,6,XXL,25kg,"R$ 30.062,00",8,1618,1140,r2845
p10,Food Package,5,L,40kg,"R$ 34.822,00",180,144,514,r2533
p11,E‑commerce Package,8,S,16kg,"R$ 29.916,00",9,1878,1153,r1869
p12,Retail Package,6,S,66kg,"R$ 25.243,00",76,463,1918,r2116
p13,Petz Package,6,L,31kg,"R$ 4.625,00",40,1845,67,r1244
p14,E‑commerce Package,2,S,77kg,"R$ 17.813,00",156,633,1213,r1246
p15,E‑commerce Package,7,XXL,57kg,"R$ 30.549,00",111,571,1257,r2168
p16,Food Package,8,M,42kg,"R$ 12.126,00",31,968,779,r1209
p17,Petz Package,4,XL,68kg,"R$ 4.476,00",135,1269,1157,r2478
p18,Food Package,9,XXL,8kg,"R$ 24.897,00",185,513,326,r1553
p19,E‑commerce Package,1,XS,37kg,"R$ 42.527,00",166,636,1834,r2563
p20,Food Package,3,L,55kg,"R$ 24.852,00",153,257,1191,r2775
p21,Retail Package,10,XS,23kg,"R$ 33.757,00",54,1610,962,r1502
p22,Petz Package,9,GG,45kg,"R$ 11.974,00",128,1883,184,r1660
p23,Petz Package,5,S,17kg,"R$ 49.699,00",166,759,1425,r1372
p24,Retail Package,6,S,13kg,"R$ 1.109,00",157,1898,1000,r2492
p25,Food Package,3,XS,49kg,"R$ 40.029,00",95,378,1772,r2222
p26,Food Package,7,XS,77kg,"R$ 40.212,00",188,1457,1803,r1645
p27,Food Package,6,XS,40kg,"R$ 25.556,00",183,1437,1238,r1855
p28,Petz Package,10,GG,20kg,"R$ 19.903,00",179,566,1825,r1191
p29,E‑commerce Package,7,L,71kg,"R$ 1.235,00",106,1582,1713,r1728
p30,Food Package,8,S,50kg,"R$ 31.871,00",58,326,421,r2441
p31,Retail Package,4,L,67kg,"R$ 9.435,00",98,556,1628,r2737
p32,Retail Package,7,L,53kg,"R$ 5.162,00",55,132,1783,r2009
p33,E‑commerce Package,9,XS,55kg,"R$ 14.382,00",130,1616,315,r1166
