PickupStop_ID,Address_ID,Route_ID,ScheduledDate,LimitDate,RealOps
1,ad423,r67,11/05/2025 05:00,11/05/2025 15:00,11/05/2025 06:37
2,ad424,r42,08/05/2025 05:00,09/05/2025 08:00,08/05/2025 07:50
3,ad92,r68,09/05/2025 05:00,10/05/2025 03:00,09/05/2025 07:22
4,ad32,r48,02/05/2025 05:00,03/05/2025 01:00,02/05/2025 05:50
5,ad40,r51,05/05/2025 05:00,05/05/2025 15:00,05/05/2025 06:24
6,ad428,r83,02/05/2025 05:00,02/05/2025 16:00,02/05/2025 06:42
7,ad189,r9,03/05/2025 05:00,04/05/2025 04:00,03/05/2025 06:38
8,ad143,r63,04/05/2025 05:00,05/05/2025 00:00,04/05/2025 06:41
9,ad386,r29,03/05/2025 05:00,04/05/2025 02:00,03/05/2025 05:51
10,ad163,r5,02/05/2025 05:00,03/05/2025 10:00,02/05/2025 06:10
11,ad138,r50,08/05/2025 05:00,08/05/2025 19:00,08/05/2025 05:33
12,ad340,r96,11/05/2025 05:00,11/05/2025 18:00,11/05/2025 07:12
13,ad465,r26,01/05/2025 05:00,01/05/2025 22:00,01/05/2025 07:45
14,ad118,r69,10/05/2025 05:00,11/05/2025 08:00,10/05/2025 06:49
15,ad494,r3,01/05/2025 05:00,02/05/2025 06:00,01/05/2025 07:29
16,ad376,r32,03/05/2025 05:00,03/05/2025 17:00,03/05/2025 07:19
17,ad406,r72,08/05/2025 05:00,09/05/2025 06:00,08/05/2025 05:35
18,ad24,r89,08/05/2025 05:00,08/05/2025 21:00,08/05/2025 05:58
19,ad227,r39,10/05/2025 05:00,10/05/2025 21:00,10/05/2025 07:14
20,ad41,r43,05/05/2025 05:00,05/05/2025 20:00,05/05/2025 05:51
21,ad22,r91,02/05/2025 05:00,03/05/2025 04:00,02/05/2025 06:28
22,ad384,r25,08/05/2025 05:00,09/05/2025 05:00,08/05/2025 07:13
23,ad373,r95,05/05/2025 05:00,06/05/2025 01:00,05/05/2025 06:49
24,ad60,r98,01/05/2025 05:00,01/05/2025 13:00,01/05/2025 06:10
25,ad120,r39,02/05/2025 05:00,03/05/2025 11:00,02/05/2025 06:05
26,ad411,r53,04/05/2025 05:00,04/05/2025 20:00,04/05/2025 05:51
27,ad126,r36,01/05/2025 05:00,01/05/2025 22:00,01/05/2025 06:32
28,ad2,r75,01/05/2025 05:00,02/05/2025 04:00,01/05/2025 05:50
29,ad447,r39,06/05/2025 05:00,06/05/2025 21:00,06/05/2025 06:22
30,ad230,r13,08/05/2025 05:00,08/05/2025 10:00,08/05/2025 06:36
31,ad112,r53,08/05/2025 05:00,09/05/2025 04:00,08/05/2025 06:51
32,ad45,r96,09/05/2025 05:00,09/05/2025 23:00,09/05/2025 06:30
33,ad54,r38,03/05/2025 05:00,04/05/2025 07:00,03/05/2025 06:15
34,ad390,r99,06/05/2025 05:00,07/05/2025 02:00,06/05/2025 06:33
35,ad175,r94,08/05/2025 05:00,08/05/2025 18:00,08/05/2025 07:53
36,ad8,r95,02/05/2025 05:00,02/05/2025 22:00,02/05/2025 05:45
37,ad114,r44,08/05/2025 05:00,09/05/2025 07:00,08/05/2025 07:24
38,ad97,r34,06/05/2025 05:00,06/05/2025 18:00,06/05/2025 06:05
39,ad486,r62,10/05/2025 05:00,10/05/2025 15:00,10/05/2025 05:33
40,ad247,r50,04/05/2025 05:00,05/05/2025 11:00,04/05/2025 07:24
41,ad413,r83,04/05/2025 05:00,04/05/2025 23:00,04/05/2025 06:04
42,ad192,r23,05/05/2025 05:00,06/05/2025 10:00,05/05/2025 07:36
43,ad154,r57,03/05/2025 05:00,04/05/2025 04:00,03/05/2025 05:55
44,ad366,r4,10/05/2025 05:00,11/05/2025 02:00,10/05/2025 06:45
45,ad440,r33,04/05/2025 05:00,04/05/2025 20:00,04/05/2025 07:45
46,ad224,r58,02/05/2025 05:00,03/05/2025 08:00,02/05/2025 06:49
47,ad282,r97,06/05/2025 05:00,06/05/2025 15:00,06/05/2025 06:17
48,ad141,r84,03/05/2025 05:00,03/05/2025 12:00,03/05/2025 05:58
49,ad355,r14,07/05/2025 05:00,08/05/2025 07:00,07/05/2025 07:45
50,ad82,r52,06/05/2025 05:00,06/05/2025 13:00,06/05/2025 05:36
51,ad296,r81,08/05/2025 05:00,09/05/2025 11:00,08/05/2025 05:33
52,ad486,r97,10/05/2025 05:00,11/05/2025 09:00,10/05/2025 07:52
53,ad449,r46,03/05/2025 05:00,04/05/2025 11:00,03/05/2025 07:47
54,ad234,r78,09/05/2025 05:00,10/05/2025 04:00,09/05/2025 07:30
55,ad45,r57,08/05/2025 05:00,08/05/2025 12:00,08/05/2025 07:19
56,ad234,r91,07/05/2025 05:00,07/05/2025 14:00,07/05/2025 07:05
57,ad359,r11,05/05/2025 05:00,05/05/2025 16:00,05/05/2025 06:06
58,ad63,r25,09/05/2025 05:00,10/05/2025 10:00,09/05/2025 06:31
59,ad125,r74,02/05/2025 05:00,03/05/2025 06:00,02/05/2025 05:59
60,ad489,r93,02/05/2025 05:00,03/05/2025 11:00,02/05/2025 06:23
61,ad136,r42,03/05/2025 05:00,03/05/2025 16:00,03/05/2025 07:22
62,ad135,r76,02/05/2025 05:00,02/05/2025 19:00,02/05/2025 06:17
63,ad245,r48,03/05/2025 05:00,04/05/2025 05:00,03/05/2025 07:22
64,ad318,r97,05/05/2025 05:00,06/05/2025 06:00,05/05/2025 06:07
65,ad121,r6,02/05/2025 05:00,02/05/2025 22:00,02/05/2025 05:47
66,ad58,r87,10/05/2025 05:00,10/05/2025 14:00,10/05/2025 06:31
67,ad409,r57,07/05/2025 05:00,08/05/2025 05:00,07/05/2025 07:23
68,ad431,r3,11/05/2025 05:00,12/05/2025 10:00,11/05/2025 07:38
69,ad428,r43,08/05/2025 05:00,09/05/2025 04:00,08/05/2025 07:32
70,ad500,r22,04/05/2025 05:00,05/05/2025 01:00,04/05/2025 05:49
71,ad380,r4,06/05/2025 05:00,07/05/2025 04:00,06/05/2025 06:05
72,ad498,r21,04/05/2025 05:00,04/05/2025 22:00,04/05/2025 07:33
73,ad30,r83,09/05/2025 05:00,10/05/2025 11:00,09/05/2025 06:17
74,ad422,r69,09/05/2025 05:00,09/05/2025 14:00,09/05/2025 07:20
75,ad372,r54,04/05/2025 05:00,04/05/2025 23:00,04/05/2025 07:34
76,ad332,r2,10/05/2025 05:00,10/05/2025 09:00,10/05/2025 06:13
77,ad162,r87,06/05/2025 05:00,06/05/2025 14:00,06/05/2025 05:54
78,ad323,r94,04/05/2025 05:00,04/05/2025 11:00,04/05/2025 07:30
79,ad22,r44,07/05/2025 05:00,07/05/2025 19:00,07/05/2025 07:37
80,ad405,r66,08/05/2025 05:00,09/05/2025 03:00,08/05/2025 06:01
81,ad355,r6,02/05/2025 05:00,02/05/2025 14:00,02/05/2025 05:41
82,ad184,r64,09/05/2025 05:00,10/05/2025 10:00,09/05/2025 07:03
83,ad51,r93,04/05/2025 05:00,05/05/2025 09:00,04/05/2025 05:33
84,ad462,r69,06/05/2025 05:00,06/05/2025 22:00,06/05/2025 05:47
85,ad67,r14,04/05/2025 05:00,04/05/2025 12:00,04/05/2025 06:24
86,ad100,r59,08/05/2025 05:00,09/05/2025 02:00,08/05/2025 06:53
87,ad200,r9,04/05/2025 05:00,04/05/2025 13:00,04/05/2025 06:16
88,ad194,r52,06/05/2025 05:00,07/05/2025 11:00,06/05/2025 07:14
89,ad321,r56,08/05/2025 05:00,09/05/2025 03:00,08/05/2025 07:31
90,ad178,r2,06/05/2025 05:00,06/05/2025 12:00,06/05/2025 07:52
91,ad384,r45,02/05/2025 05:00,03/05/2025 00:00,02/05/2025 07:56
92,ad323,r30,06/05/2025 05:00,07/05/2025 05:00,06/05/2025 07:42
93,ad366,r20,07/05/2025 05:00,07/05/2025 21:00,07/05/2025 07:42
94,ad482,r41,06/05/2025 05:00,06/05/2025 10:00,06/05/2025 06:01
95,ad211,r35,05/05/2025 05:00,05/05/2025 17:00,05/05/2025 06:05
96,ad487,r2,06/05/2025 05:00,06/05/2025 14:00,06/05/2025 07:13
97,ad117,r38,04/05/2025 05:00,05/05/2025 10:00,04/05/2025 07:54
98,ad343,r69,03/05/2025 05:00,04/05/2025 06:00,03/05/2025 06:32
99,ad436,r23,02/05/2025 05:00,02/05/2025 21:00,02/05/2025 07:06
100,ad481,r69,06/05/2025 05:00,07/05/2025 03:00,06/05/2025 06:09
101,ad257,r61,04/05/2025 05:00,04/05/2025 20:00,04/05/2025 06:14
102,ad344,r79,02/05/2025 05:00,02/05/2025 09:00,02/05/2025 07:31
103,ad393,r23,11/05/2025 05:00,11/05/2025 22:00,11/05/2025 05:35
104,ad272,r66,05/05/2025 05:00,05/05/2025 10:00,05/05/2025 06:27
105,ad332,r37,07/05/2025 05:00,07/05/2025 10:00,07/05/2025 07:12
106,ad370,r89,02/05/2025 05:00,02/05/2025 11:00,02/05/2025 07:59
107,ad23,r69,10/05/2025 05:00,10/05/2025 11:00,10/05/2025 06:57
108,ad6,r69,05/05/2025 05:00,05/05/2025 23:00,05/05/2025 06:37
109,ad59,r69,03/05/2025 05:00,03/05/2025 23:00,03/05/2025 06:24
