Route_ID,Status,Driver_ID,PreditiveRisk,ScheduledDate,LimitDate,StartOps,EndOps,DateCreated
r1000,Cancelled,d1000463,0.52,01/05/2025 17:00,01/05/2025 23:00,01/05/2025 12:00,01/05/2025 15:00,30/04/2025 17:00
r1001,Pending,d1000295,0.85,02/05/2025 17:00,02/05/2025 23:00,02/05/2025 12:00,02/05/2025 15:00,01/05/2025 17:00
r1002,InProgress,d1000031,0.37,03/05/2025 17:00,03/05/2025 23:00,03/05/2025 12:00,03/05/2025 15:00,02/05/2025 17:00
r1003,InProgress,d1000360,0.56,04/05/2025 17:00,04/05/2025 23:00,04/05/2025 12:00,04/05/2025 15:00,03/05/2025 17:00
r1004,Cancelled,d1000473,0.08,05/05/2025 17:00,05/05/2025 23:00,05/05/2025 12:00,05/05/2025 15:00,04/05/2025 17:00
r1005,InProgress,d1000366,0.56,06/05/2025 17:00,06/05/2025 23:00,06/05/2025 12:00,06/05/2025 15:00,05/05/2025 17:00
r1006,Pending,d1000075,0.26,07/05/2025 17:00,07/05/2025 23:00,07/05/2025 12:00,07/05/2025 15:00,06/05/2025 17:00
r1007,Completed,d1000434,0.18,08/05/2025 17:00,08/05/2025 23:00,08/05/2025 12:00,08/05/2025 15:00,07/05/2025 17:00
r1008,Completed,d1000219,0.53,09/05/2025 17:00,09/05/2025 23:00,09/05/2025 12:00,09/05/2025 15:00,08/05/2025 17:00
r1009,Pending,d1000344,0.4,10/05/2025 17:00,10/05/2025 23:00,10/05/2025 12:00,10/05/2025 15:00,09/05/2025 17:00
r1010,InProgress,d1000466,0.2,01/05/2025 17:00,01/05/2025 23:00,01/05/2025 12:00,01/05/2025 15:00,30/04/2025 17:00
r1011,InProgress,d1000427,0.9,02/05/2025 17:00,02/05/2025 23:00,02/05/2025 12:00,02/05/2025 15:00,01/05/2025 17:00
r1012,Pending,d1000423,0.04,03/05/2025 17:00,03/05/2025 23:00,03/05/2025 12:00,03/05/2025 15:00,02/05/2025 17:00
r1013,Cancelled,d1000493,0.4,04/05/2025 17:00,04/05/2025 23:00,04/05/2025 12:00,04/05/2025 15:00,03/05/2025 17:00
r1014,Pending,d1000019,0.75,05/05/2025 17:00,05/05/2025 23:00,05/05/2025 12:00,05/05/2025 15:00,04/05/2025 17:00
r1015,InProgress,d1000486,0.98,06/05/2025 17:00,06/05/2025 23:00,06/05/2025 12:00,06/05/2025 15:00,05/05/2025 17:00
r1016,Pending,d1000037,0.76,07/05/2025 17:00,07/05/2025 23:00,07/05/2025 12:00,07/05/2025 15:00,06/05/2025 17:00
r1017,InProgress,d1000292,0.09,08/05/2025 17:00,08/05/2025 23:00,08/05/2025 12:00,08/05/2025 15:00,07/05/2025 17:00
r1018,InProgress,d1000003,0.75,09/05/2025 17:00,09/05/2025 23:00,09/05/2025 12:00,09/05/2025 15:00,08/05/2025 17:00
r1019,InProgress,d1000003,0.75,10/05/2025 17:00,10/05/2025 23:00,10/05/2025 12:00,10/05/2025 15:00,09/05/2025 17:00
r1020,Completed,d1000112,0.26,01/05/2025 17:00,01/05/2025 23:00,01/05/2025 12:00,01/05/2025 15:00,30/04/2025 17:00
r1021,Pending,d1000283,0.2,02/05/2025 17:00,02/05/2025 23:00,02/05/2025 12:00,02/05/2025 15:00,01/05/2025 17:00
r1022,Cancelled,d1000263,0.73,03/05/2025 17:00,03/05/2025 23:00,03/05/2025 12:00,03/05/2025 15:00,02/05/2025 17:00
r1023,Cancelled,d1000128,0.64,04/05/2025 17:00,04/05/2025 23:00,04/05/2025 12:00,04/05/2025 15:00,03/05/2025 17:00
r1024,InProgress,d1000226,0.2,05/05/2025 17:00,05/05/2025 23:00,05/05/2025 12:00,05/05/2025 15:00,04/05/2025 17:00
r1025,InProgress,d1000047,0.69,06/05/2025 17:00,06/05/2025 23:00,06/05/2025 12:00,06/05/2025 15:00,05/05/2025 17:00
r1026,Cancelled,d1000161,0.23,07/05/2025 17:00,07/05/2025 23:00,07/05/2025 12:00,07/05/2025 15:00,06/05/2025 17:00
r1027,InProgress,d1000116,0.25,08/05/2025 17:00,08/05/2025 23:00,08/05/2025 12:00,08/05/2025 15:00,07/05/2025 17:00
r1028,Cancelled,d1000125,0.64,09/05/2025 17:00,09/05/2025 23:00,09/05/2025 12:00,09/05/2025 15:00,08/05/2025 17:00
r1029,Cancelled,d1000475,0.14,10/05/2025 17:00,10/05/2025 23:00,10/05/2025 12:00,10/05/2025 15:00,09/05/2025 17:00
r1030,InProgress,d1000248,0.98,01/05/2025 17:00,01/05/2025 23:00,01/05/2025 12:00,01/05/2025 15:00,30/04/2025 17:00
r1031,Pending,d1000051,0.0,02/05/2025 17:00,02/05/2025 23:00,02/05/2025 12:00,02/05/2025 15:00,01/05/2025 17:00
r1032,Cancelled,d1000302,0.08,03/05/2025 17:00,03/05/2025 23:00,03/05/2025 12:00,03/05/2025 15:00,02/05/2025 17:00
r1033,Cancelled,d1000447,0.08,04/05/2025 17:00,04/05/2025 23:00,04/05/2025 12:00,04/05/2025 15:00,03/05/2025 17:00
r1034,InProgress,d1000200,0.02,05/05/2025 17:00,05/05/2025 23:00,05/05/2025 12:00,05/05/2025 15:00,04/05/2025 17:00
r1035,Cancelled,d1000380,0.4,06/05/2025 17:00,06/05/2025 23:00,06/05/2025 12:00,06/05/2025 15:00,05/05/2025 17:00
r1036,Pending,d1000395,0.56,07/05/2025 17:00,07/05/2025 23:00,07/05/2025 12:00,07/05/2025 15:00,06/05/2025 17:00
r1037,Cancelled,d1000195,0.32,08/05/2025 17:00,08/05/2025 23:00,08/05/2025 12:00,08/05/2025 15:00,07/05/2025 17:00
r1038,InProgress,d1000243,0.66,09/05/2025 17:00,09/05/2025 23:00,09/05/2025 12:00,09/05/2025 15:00,08/05/2025 17:00
r1039,InProgress,d1000093,0.36,10/05/2025 17:00,10/05/2025 23:00,10/05/2025 12:00,10/05/2025 15:00,09/05/2025 17:00
r1040,InProgress,d1000291,0.76,01/05/2025 17:00,01/05/2025 23:00,01/05/2025 12:00,01/05/2025 15:00,30/04/2025 17:00
r1041,Completed,d1000199,0.11,02/05/2025 17:00,02/05/2025 23:00,02/05/2025 12:00,02/05/2025 15:00,01/05/2025 17:00
r1042,InProgress,d1000072,0.91,03/05/2025 17:00,03/05/2025 23:00,03/05/2025 12:00,03/05/2025 15:00,02/05/2025 17:00
r1043,Pending,d1000078,0.77,04/05/2025 17:00,04/05/2025 23:00,04/05/2025 12:00,04/05/2025 15:00,03/05/2025 17:00
r1044,InProgress,d1000112,0.19,05/05/2025 17:00,05/05/2025 23:00,05/05/2025 12:00,05/05/2025 15:00,04/05/2025 17:00
r1045,Pending,d1000369,0.6,06/05/2025 17:00,06/05/2025 23:00,06/05/2025 12:00,06/05/2025 15:00,05/05/2025 17:00
r1046,InProgress,d1000221,0.88,07/05/2025 17:00,07/05/2025 23:00,07/05/2025 12:00,07/05/2025 15:00,06/05/2025 17:00
r1047,InProgress,d1000076,0.47,08/05/2025 17:00,08/05/2025 23:00,08/05/2025 12:00,08/05/2025 15:00,07/05/2025 17:00
r1048,Pending,d1000344,0.79,09/05/2025 17:00,09/05/2025 23:00,09/05/2025 12:00,09/05/2025 15:00,08/05/2025 17:00
r1049,Cancelled,d1000024,0.48,10/05/2025 17:00,10/05/2025 23:00,10/05/2025 12:00,10/05/2025 15:00,09/05/2025 17:00
r1050,Cancelled,d1000469,0.12,01/05/2025 17:00,01/05/2025 23:00,01/05/2025 12:00,01/05/2025 15:00,30/04/2025 17:00
r1051,Cancelled,d1000109,0.97,02/05/2025 17:00,02/05/2025 23:00,02/05/2025 12:00,02/05/2025 15:00,01/05/2025 17:00
r1052,InProgress,d1000173,0.17,03/05/2025 17:00,03/05/2025 23:00,03/05/2025 12:00,03/05/2025 15:00,02/05/2025 17:00
r1053,InProgress,d1000467,0.36,04/05/2025 17:00,04/05/2025 23:00,04/05/2025 12:00,04/05/2025 15:00,03/05/2025 17:00
r1054,Pending,d1000312,0.23,05/05/2025 17:00,05/05/2025 23:00,05/05/2025 12:00,05/05/2025 15:00,04/05/2025 17:00
r1055,Cancelled,d1000414,0.32,06/05/2025 17:00,06/05/2025 23:00,06/05/2025 12:00,06/05/2025 15:00,05/05/2025 17:00
r1056,Cancelled,d1000157,0.02,07/05/2025 17:00,07/05/2025 23:00,07/05/2025 12:00,07/05/2025 15:00,06/05/2025 17:00
r1057,Pending,d1000082,0.69,08/05/2025 17:00,08/05/2025 23:00,08/05/2025 12:00,08/05/2025 15:00,07/05/2025 17:00
r1058,Completed,d1000480,0.41,09/05/2025 17:00,09/05/2025 23:00,09/05/2025 12:00,09/05/2025 15:00,08/05/2025 17:00
r1059,InProgress,d1000285,0.2,10/05/2025 17:00,10/05/2025 23:00,10/05/2025 12:00,10/05/2025 15:00,09/05/2025 17:00
r1060,InProgress,d1000257,0.36,01/05/2025 17:00,01/05/2025 23:00,01/05/2025 12:00,01/05/2025 15:00,30/04/2025 17:00
r1061,Pending,d1000265,0.46,02/05/2025 17:00,02/05/2025 23:00,02/05/2025 12:00,02/05/2025 15:00,01/05/2025 17:00
r1062,Pending,d1000375,0.04,03/05/2025 17:00,03/05/2025 23:00,03/05/2025 12:00,03/05/2025 15:00,02/05/2025 17:00
r1063,Cancelled,d1000413,0.81,04/05/2025 17:00,04/05/2025 23:00,04/05/2025 12:00,04/05/2025 15:00,03/05/2025 17:00
r1064,InProgress,d1000430,0.02,05/05/2025 17:00,05/05/2025 23:00,05/05/2025 12:00,05/05/2025 15:00,04/05/2025 17:00
r1065,Cancelled,d1000171,0.06,06/05/2025 17:00,06/05/2025 23:00,06/05/2025 12:00,06/05/2025 15:00,05/05/2025 17:00
r1066,Completed,d1000365,0.01,07/05/2025 17:00,07/05/2025 23:00,07/05/2025 12:00,07/05/2025 15:00,06/05/2025 17:00
r1067,InProgress,d1000075,0.04,08/05/2025 17:00,08/05/2025 23:00,08/05/2025 12:00,08/05/2025 15:00,07/05/2025 17:00
r1068,Cancelled,d1000052,0.48,09/05/2025 17:00,09/05/2025 23:00,09/05/2025 12:00,09/05/2025 15:00,08/05/2025 17:00
r1069,InProgress,d1000161,0.07,10/05/2025 17:00,10/05/2025 23:00,10/05/2025 12:00,10/05/2025 15:00,09/05/2025 17:00
r1070,Completed,d1000322,0.08,01/05/2025 17:00,01/05/2025 23:00,01/05/2025 12:00,01/05/2025 15:00,30/04/2025 17:00
r1071,Pending,d1000084,0.78,02/05/2025 17:00,02/05/2025 23:00,02/05/2025 12:00,02/05/2025 15:00,01/05/2025 17:00
r1072,Cancelled,d1000241,0.73,03/05/2025 17:00,03/05/2025 23:00,03/05/2025 12:00,03/05/2025 15:00,02/05/2025 17:00
r1073,Cancelled,d1000071,0.14,04/05/2025 17:00,04/05/2025 23:00,04/05/2025 12:00,04/05/2025 15:00,03/05/2025 17:00
r1074,Completed,d1000064,0.17,05/05/2025 17:00,05/05/2025 23:00,05/05/2025 12:00,05/05/2025 15:00,04/05/2025 17:00
r1075,InProgress,d1000050,0.87,06/05/2025 17:00,06/05/2025 23:00,06/05/2025 12:00,06/05/2025 15:00,05/05/2025 17:00
r1076,Pending,d1000381,0.85,07/05/2025 17:00,07/05/2025 23:00,07/05/2025 12:00,07/05/2025 15:00,06/05/2025 17:00
r1077,Completed,d1000143,0.05,08/05/2025 17:00,08/05/2025 23:00,08/05/2025 12:00,08/05/2025 15:00,07/05/2025 17:00
r1078,Cancelled,d1000083,0.05,09/05/2025 17:00,09/05/2025 23:00,09/05/2025 12:00,09/05/2025 15:00,08/05/2025 17:00
r1079,Pending,d1000363,0.55,10/05/2025 17:00,10/05/2025 23:00,10/05/2025 12:00,10/05/2025 15:00,09/05/2025 17:00
r1080,Cancelled,d1000422,0.14,01/05/2025 17:00,01/05/2025 23:00,01/05/2025 12:00,01/05/2025 15:00,30/04/2025 17:00
r1081,InProgress,d1000038,0.16,02/05/2025 17:00,02/05/2025 23:00,02/05/2025 12:00,02/05/2025 15:00,01/05/2025 17:00
r1082,Cancelled,d1000234,0.79,03/05/2025 17:00,03/05/2025 23:00,03/05/2025 12:00,03/05/2025 15:00,02/05/2025 17:00
r1083,Pending,d1000276,0.79,04/05/2025 17:00,04/05/2025 23:00,04/05/2025 12:00,04/05/2025 15:00,03/05/2025 17:00
r1084,InProgress,d1000264,0.87,05/05/2025 17:00,05/05/2025 23:00,05/05/2025 12:00,05/05/2025 15:00,04/05/2025 17:00
r1085,Pending,d1000230,0.46,06/05/2025 17:00,06/05/2025 23:00,06/05/2025 12:00,06/05/2025 15:00,05/05/2025 17:00
r1086,Pending,d1000287,0.24,07/05/2025 17:00,07/05/2025 23:00,07/05/2025 12:00,07/05/2025 15:00,06/05/2025 17:00
r1087,Cancelled,d1000365,0.06,08/05/2025 17:00,08/05/2025 23:00,08/05/2025 12:00,08/05/2025 15:00,07/05/2025 17:00
r1088,Completed,d1000251,0.07,09/05/2025 17:00,09/05/2025 23:00,09/05/2025 12:00,09/05/2025 15:00,08/05/2025 17:00
r1089,Completed,d1000410,0.36,10/05/2025 17:00,10/05/2025 23:00,10/05/2025 12:00,10/05/2025 15:00,09/05/2025 17:00
r1090,Completed,d1000128,0.89,01/05/2025 17:00,01/05/2025 23:00,01/05/2025 12:00,01/05/2025 15:00,30/04/2025 17:00
